image_url,id,Категория,Сезон,Материал подошвы,Материал верха,Цвет
https://a.lmcdn.ru/img600x866/M/P/MP002XM1HU4Y_15943224_2_v1.jpg,MP002XM1HU4Y,Высокие ботинки,зима,термоэластопласт,натуральная кожа,черный
https://a.lmcdn.ru/img600x866/M/P/MP002XM1HU4Y_15943225_3_v1.jpg,MP002XM1HU4Y,Высокие ботинки,зима,термоэластопласт,натуральная кожа,черный
https://a.lmcdn.ru/img600x866/M/P/MP002XM1HU4Y_15943226_4_v1.jpg,MP002XM1HU4Y,Высокие ботинки,зима,термоэластопласт,натуральная кожа,черный
https://a.lmcdn.ru/img600x866/M/P/MP002XM1HU4Y_15943227_5_v1.jpg,MP002XM1HU4Y,Высокие ботинки,зима,термоэластопласт,натуральная кожа,черный
https://a.lmcdn.ru/img600x866/M/P/MP002XM1HU4Y_15943228_6_v1.jpg,MP002XM1HU4Y,Высокие ботинки,зима,термоэластопласт,натуральная кожа,черный
https://a.lmcdn.ru/img600x866/M/P/MP002XM256OC_21600311_1_v1.jpg,MP002XM256OC,Челси,демисезон,термоэластопласт,натуральный спилок,черный
https://a.lmcdn.ru/img600x866/M/P/MP002XM256OC_21600312_2_v1.jpg,MP002XM256OC,Челси,демисезон,термоэластопласт,натуральный спилок,черный
https://a.lmcdn.ru/img600x866/M/P/MP002XM256OC_21600313_3_v1.jpg,MP002XM256OC,Челси,демисезон,термоэластопласт,натуральный спилок,черный
https://a.lmcdn.ru/img600x866/M/P/MP002XM256OC_21600314_4_v1.jpg,MP002XM256OC,Челси,демисезон,термоэластопласт,натуральный спилок,черный
https://a.lmcdn.ru/img600x866/M/P/MP002XM256OC_21600315_5_v1.jpg,MP002XM256OC,Челси,демисезон,термоэластопласт,натуральный спилок,черный
https://a.lmcdn.ru/img600x866/M/P/MP002XM0BUIQ_25046398_1_v1.jpg,MP002XM0BUIQ,Ботинки,зима,ПВХ,"искусственная кожа, текстиль",коричневый
https://a.lmcdn.ru/img600x866/M/P/MP002XM0BUIQ_25046399_2_v1.jpg,MP002XM0BUIQ,Ботинки,зима,ПВХ,"искусственная кожа, текстиль",коричневый
https://a.lmcdn.ru/img600x866/M/P/MP002XM0BUIQ_25046400_3_v1.jpg,MP002XM0BUIQ,Ботинки,зима,ПВХ,"искусственная кожа, текстиль",коричневый
https://a.lmcdn.ru/img600x866/M/P/MP002XM0BUIQ_25046401_4_v1.jpg,MP002XM0BUIQ,Ботинки,зима,ПВХ,"искусственная кожа, текстиль",коричневый
https://a.lmcdn.ru/img600x866/M/P/MP002XM0BUIQ_25046402_5_v1.jpg,MP002XM0BUIQ,Ботинки,зима,ПВХ,"искусственная кожа, текстиль",коричневый
https://a.lmcdn.ru/img600x866/M/P/MP002XM0X6DR_20666560_1_v1.jpg,MP002XM0X6DR,Высокие ботинки,демисезон,резина,натуральная кожа,коричневый
https://a.lmcdn.ru/img600x866/M/P/MP002XM0X6DR_20666561_2_v1.jpg,MP002XM0X6DR,Высокие ботинки,демисезон,резина,натуральная кожа,коричневый
https://a.lmcdn.ru/img600x866/M/P/MP002XM0X6DR_20666562_3_v1.jpg,MP002XM0X6DR,Высокие ботинки,демисезон,резина,натуральная кожа,коричневый
https://a.lmcdn.ru/img600x866/M/P/MP002XM0X6DR_20666563_4_v1.jpg,MP002XM0X6DR,Высокие ботинки,демисезон,резина,натуральная кожа,коричневый
https://a.lmcdn.ru/img600x866/M/P/MP002XM0X6DR_20666564_5_v1.jpg,MP002XM0X6DR,Высокие ботинки,демисезон,резина,натуральная кожа,коричневый
https://a.lmcdn.ru/img600x866/M/P/MP002XM0BXNP_25064385_1_v1.jpeg,MP002XM0BXNP,Ботинки,зима,"термопластичная резина, этиленвинилацетат",текстиль,хаки
https://a.lmcdn.ru/img600x866/M/P/MP002XM0BXNP_25064353_2_v1.jpeg,MP002XM0BXNP,Ботинки,зима,"термопластичная резина, этиленвинилацетат",текстиль,хаки
https://a.lmcdn.ru/img600x866/M/P/MP002XM0BXNP_25064363_3_v1.jpeg,MP002XM0BXNP,Ботинки,зима,"термопластичная резина, этиленвинилацетат",текстиль,хаки
https://a.lmcdn.ru/img600x866/M/P/MP002XM0BXNP_25064343_4_v1.jpeg,MP002XM0BXNP,Ботинки,зима,"термопластичная резина, этиленвинилацетат",текстиль,хаки
https://a.lmcdn.ru/img600x866/M/P/MP002XM0BXNP_25064347_5_v1.jpeg,MP002XM0BXNP,Ботинки,зима,"термопластичная резина, этиленвинилацетат",текстиль,хаки
https://a.lmcdn.ru/img600x866/M/P/MP002XM0BXNP_25064373_6_v1.jpeg,MP002XM0BXNP,Ботинки,зима,"термопластичная резина, этиленвинилацетат",текстиль,хаки
https://a.lmcdn.ru/img600x866/M/P/MP002XM0X6DC_20787842_1_v1.jpg,MP002XM0X6DC,Высокие ботинки,демисезон,резина,натуральная кожа,коричневый
https://a.lmcdn.ru/img600x866/M/P/MP002XM0X6DC_20787843_2_v1.jpg,MP002XM0X6DC,Высокие ботинки,демисезон,резина,натуральная кожа,коричневый
https://a.lmcdn.ru/img600x866/M/P/MP002XM0X6DC_20787844_3_v1.jpg,MP002XM0X6DC,Высокие ботинки,демисезон,резина,натуральная кожа,коричневый
https://a.lmcdn.ru/img600x866/M/P/MP002XM0X6DC_20787845_4_v1.jpg,MP002XM0X6DC,Высокие ботинки,демисезон,резина,натуральная кожа,коричневый
https://a.lmcdn.ru/img600x866/M/P/MP002XM0X6DC_20787846_5_v1.jpg,MP002XM0X6DC,Высокие ботинки,демисезон,резина,натуральная кожа,коричневый
https://a.lmcdn.ru/img600x866/M/P/MP002XM0BOA9_24618696_1_v1_2x.jpeg,MP002XM0BOA9,Низкие ботинки,демисезон,"резина, этиленвинилацетат",текстиль,черный
https://a.lmcdn.ru/img600x866/M/P/MP002XM0BOA9_24618702_2_v1_2x.jpeg,MP002XM0BOA9,Низкие ботинки,демисезон,"резина, этиленвинилацетат",текстиль,черный
https://a.lmcdn.ru/img600x866/M/P/MP002XM0BOA9_24618699_3_v1_2x.jpeg,MP002XM0BOA9,Низкие ботинки,демисезон,"резина, этиленвинилацетат",текстиль,черный
https://a.lmcdn.ru/img600x866/M/P/MP002XM0BOA9_24618707_4_v1_2x.jpeg,MP002XM0BOA9,Низкие ботинки,демисезон,"резина, этиленвинилацетат",текстиль,черный
https://a.lmcdn.ru/img600x866/M/P/MP002XM0BOA9_24618709_5_v1_2x.jpeg,MP002XM0BOA9,Низкие ботинки,демисезон,"резина, этиленвинилацетат",текстиль,черный
https://a.lmcdn.ru/img600x866/M/P/MP002XM0X6DK_20666550_1_v1.jpg,MP002XM0X6DK,Высокие ботинки,демисезон,резина,натуральная кожа,коричневый
https://a.lmcdn.ru/img600x866/M/P/MP002XM0X6DK_20666551_2_v1.jpg,MP002XM0X6DK,Высокие ботинки,демисезон,резина,натуральная кожа,коричневый
https://a.lmcdn.ru/img600x866/M/P/MP002XM0X6DK_20666552_3_v1.jpg,MP002XM0X6DK,Высокие ботинки,демисезон,резина,натуральная кожа,коричневый
https://a.lmcdn.ru/img600x866/M/P/MP002XM0X6DK_20666553_4_v1.jpg,MP002XM0X6DK,Высокие ботинки,демисезон,резина,натуральная кожа,коричневый
https://a.lmcdn.ru/img600x866/M/P/MP002XM0X6DK_20666554_5_v1.jpg,MP002XM0X6DK,Высокие ботинки,демисезон,резина,натуральная кожа,коричневый
https://a.lmcdn.ru/img600x866/R/T/RTLADS341601_24457023_1_v1.jpg,RTLADS341601,Низкие ботинки,зима,термопластичная резина,искусственная кожа,серый
https://a.lmcdn.ru/img600x866/R/T/RTLADS341601_24457024_2_v1.jpg,RTLADS341601,Низкие ботинки,зима,термопластичная резина,искусственная кожа,серый
https://a.lmcdn.ru/img600x866/R/T/RTLADS341601_24457025_3_v1.jpg,RTLADS341601,Низкие ботинки,зима,термопластичная резина,искусственная кожа,серый
https://a.lmcdn.ru/img600x866/R/T/RTLADS341601_24457026_4_v1.jpg,RTLADS341601,Низкие ботинки,зима,термопластичная резина,искусственная кожа,серый
https://a.lmcdn.ru/img600x866/R/T/RTLADS341601_24457027_5_v1.jpg,RTLADS341601,Низкие ботинки,зима,термопластичная резина,искусственная кожа,серый
https://a.lmcdn.ru/img600x866/M/P/MP002XM1ZKES_12658705_1_v2.jpg,MP002XM1ZKES,Тимберленды и др.,демисезон,термоэластопласт,искусственная кожа,зеленый
https://a.lmcdn.ru/img600x866/M/P/MP002XM1ZKES_12658706_2_v1.jpg,MP002XM1ZKES,Тимберленды и др.,демисезон,термоэластопласт,искусственная кожа,зеленый
https://a.lmcdn.ru/img600x866/M/P/MP002XM1ZKES_12658707_3_v1.jpg,MP002XM1ZKES,Тимберленды и др.,демисезон,термоэластопласт,искусственная кожа,зеленый
